rank,canonical_smiles,best_smiles,best_total_reward,mean_total_reward,best_targetA_score,best_offTargetB_score,best_off_target_penalty,occurrences,best_batch_index,ranking_criterion
1,COc1cccc(C(C)C(=O)Nc2cc(C(=O)Nc3ccc4c(C)n(C)nc4c3)ccc2C)c1,COc1cccc(C(C)C(=O)Nc2cc(C(=O)Nc3ccc4c(C)n(C)nc4c3)ccc2C)c1,0.08058687305607995,0.08058687305607995,0.2689789081461638,0.1078051620340039,0.0,1,2,best_total_reward
2,COc1cc(N=c2[nH]n(Cc3ccc(C)cc3)c3[nH]c4ccccc4c23)cc(OC)c1,COc1cc(N=c2[nH]n(Cc3ccc(C)cc3)c3[nH]c4ccccc4c23)cc(OC)c1,0.07813512081809583,0.07813512081809583,0.38034714896890176,0.2240769073327101,0.0,1,11,best_total_reward
3,O=C(NCc1ccc(F)cc1)N(CCN1CCOCC1)C1CCN(Cc2nc3ccccc3s2)CC1,O=C(NCc1ccc(F)cc1)N(CCN1CCOCC1)C1CCN(Cc2nc3ccccc3s2)CC1,0.07638934708550651,0.07638934708550651,0.22877520648489555,0.07599651231388252,0.0,1,10,best_total_reward
4,CCN(CC)Cn1c(O)c(N=NC(=O)c2cn(CC)c3cc(Br)c(S(=O)(=O)c4ccc(N)cc4)cc3c2=O)c2ccccc21,CCN(CC)Cn1c(O)c(N=NC(=O)c2cn(CC)c3cc(Br)c(S(=O)(=O)c4ccc(N)cc4)cc3c2=O)c2ccccc21,0.0713027078116357,0.0713027078116357,0.2604802169703994,0.11787480134712801,0.0,1,11,best_total_reward
5,Cc1nc2c3sc(NCCC4CCN(C(=O)OC(C)(C)C)CC4)cc3c(=O)n(C)c2s1,Cc1nc2c3sc(NCCC4CCN(C(=O)OC(C)(C)C)CC4)cc3c(=O)n(C)c2s1,0.06695794123323585,0.06695794123323585,0.22359297048058516,0.08967708801411345,0.0,1,5,best_total_reward
6,Cn1nnc2cc(C(=O)Nc3scnc3C(=O)NCCC(=O)O)ccc21,Cn1nnc2cc(C(=O)Nc3scnc3C(=O)NCCC(=O)O)ccc21,0.058795063419945996,0.058795063419945996,0.20503143640535698,0.08744130956546499,0.0,1,2,best_total_reward
7,COc1ccc(CN=c2nc3nc(Oc4cccc(OC)c4)cc(N4CCOCC4)n3[nH]2)cc1,COc1ccc(CN=c2nc3nc(Oc4cccc(OC)c4)cc(N4CCOCC4)n3[nH]2)cc1,0.05385576054564656,0.05385576054564656,0.3678968136016458,0.26018529251035266,0.0,1,12,best_total_reward
8,COc1cccc2oc(-c3csc(=Nc4ccc(CCN5CCc6ccccc6C5)cc4)[nH]3)cc12,COc1cccc2oc(-c3csc(=Nc4ccc(CCN5CCc6ccccc6C5)cc4)[nH]3)cc12,0.04992625518400069,0.04992625518400069,0.2924299590520027,0.1925774486840013,0.0,1,3,best_total_reward
9,COc1ccc2c(=NCCCN3CCCCC3C)cc(-c3ccccc3)[nH]c2c1,COc1ccc2c(=NCCCN3CCCCC3C)cc(-c3ccccc3)[nH]c2c1,0.048774969294523116,0.048774969294523116,0.2898627080290167,0.19231276943997047,0.0,1,3,best_total_reward
10,Cc1nnc(C)c2nn(-c3ccccc3OCC(=O)N3CCC(N(C)C)C3)nc12,Cc1nnc(C)c2nn(-c3ccccc3OCC(=O)N3CCC(N(C)C)C3)nc12,0.041874167140584374,0.041874167140584374,0.16812560191760337,0.08437726763643462,0.0,1,4,best_total_reward
