rank,canonical_smiles,best_smiles,best_total_reward,mean_total_reward,best_targetA_score,best_offTargetB_score,best_off_target_penalty,occurrences,best_batch_index,ranking_criterion
1,Cc1cc(=N)c2cc(NC(=O)c3ccc(-n4nc5ccccc5c4C)cc3)ccc2[nH]1,Cc1cc(=N)c2cc(NC(=O)c3ccc(-n4nc5ccccc5c4C)cc3)ccc2[nH]1,0.8438797118458509,0.8438797118458509,0.8438797118458509,0.0,0.0,1,50,best_total_reward
2,Oc1cccc2nc3c(O)cccc3nc12,Oc1cccc2nc3c(O)cccc3nc12,0.8370761055923331,0.8370761055923331,0.8370761055923331,0.0,0.0,1,30,best_total_reward
3,CCCCCCCCCCCCCCNC(=O)C[N+](C)(CC)CC,CCCCCCCCCCCCCCNC(=O)C[N+](C)(CC)CC,0.8116352001879806,0.8116352001879806,0.8116352001879806,0.0,0.0,1,68,best_total_reward
4,O=C1c2ccccc2-c2nnc(-c3ncco3)cc21,O=C1c2ccccc2-c2nnc(-c3ncco3)cc21,0.7144560534132464,0.7144560534132464,0.7144560534132464,0.0,0.0,1,75,best_total_reward
5,Cc1cc(=NN=Cc2ccc([N+](=O)[O-])o2)[nH]c2ccccc12,Cc1cc(=NN=Cc2ccc([N+](=O)[O-])o2)[nH]c2ccccc12,0.7134577056633855,0.7134577056633855,0.7134577056633855,0.0,0.0,1,70,best_total_reward
6,Clc1nnc2ccccc2n1,Clc1nnc2ccccc2n1,0.6941712717978482,0.6941712717978482,0.6941712717978482,0.0,0.0,1,24,best_total_reward
7,c1ccc(-n2ncc3c(N4CCN5CCCC5C4)nc(N4CCCC4)nc32)cc1,c1ccc(-n2ncc3c(N4CCN5CCCC5C4)nc(N4CCCC4)nc32)cc1,0.6919792791259904,0.6919792791259904,0.6919792791259904,0.0,0.0,1,70,best_total_reward
8,CCCNC(C=S)NCCCCC1CCCc2cc(OC)ccc2C1,CCCNC(C=S)NCCCCC1CCCc2cc(OC)ccc2C1,0.6872077581608186,0.6872077581608186,0.6872077581608186,0.0,0.0,1,67,best_total_reward
9,O=c1[nH]c(-c2ccccc2)nc2ccc3c[nH]nc3c12,O=c1[nH]c(-c2ccccc2)nc2ccc3c[nH]nc3c12,0.6768711200517685,0.6768711200517685,0.6768711200517685,0.0,0.0,1,14,best_total_reward
10,N=C1C(=O)c2c(c(C(=O)O)cc([N+](=O)[O-])c2[N+](=O)[O-])C(=O)C1O,N=C1C(=O)c2c(c(C(=O)O)cc([N+](=O)[O-])c2[N+](=O)[O-])C(=O)C1O,0.6413671807187428,0.6413671807187428,0.6413671807187428,0.0,0.0,1,41,best_total_reward
11,O=[N+]([O-])c1cc(Cl)cc2cccnc12,O=[N+]([O-])c1cc(Cl)cc2cccnc12,0.6274475377199027,0.6274475377199027,0.6274475377199027,0.0,0.0,1,64,best_total_reward
