SMILES,SMILES_state,NLL
CC1CC(N)CC(c2ccncc2NC(=O)c2cccc(Cl)c2)C1,1,21.58
N#CC(=Cc1ccc(N2C(=O)C=CC2=O)cc1)C(=O)O,1,25.87
CCCCN=c1[nH]c(CCO)nc(=Nc2ccc(C(C)=O)cc2)[nH]1,1,32.43
O=c1ccc(-c2cnc(-n3[nH]c(C(F)(F)F)cc3=O)s2)nn1-c1cccc(Cl)c1,1,37.86
Cc1ccc(C(=O)OCC2(CO)CC(=Cc3ccccc3)C(=O)O2)cc1,1,19.1
CCOc1cnc(N2CCC(NCc3ccc(Cl)cc3)CC2)c(C)c1,1,27.79
COc1ccc(-c2ccc(C(C)=CCn3cncn3)cc2)cc1OC1CCOCC1,1,34.49
O=c1[nH]c2ccc(Cl)cc2c(=O)n1CCN1CCC2c3ccccc3C(c3ccccn3)C2C1,1,31.64
Nc1c(N=Cc2ccccc2)sc2nc3c(cc12)CCCC3,1,24.32
OC1(C2CCCCN2)Cc2cccc3cccc1c23,1,22.99
CC(C)NNC(=O)c1c(C(C)C)n(CCC2CCCO2)c2ccc(OCCN(C)C)cc12,1,38.98
O=S(=O)(CCCO)c1ccc(Br)cc1,1,22.95
C(=Cc1ccccn1)c1ccccc1,1,17.33
CC12CCC(=O)CC1=CCC1C2CCC2(C)C(C(=O)Nc3cccc(F)c3F)CCC12,1,30.7
COc1ccc(Cl)c(N=c2nc(-c3ccccc3)[nH]c3c2CCNCC3)c1,1,27.84
CCN1CCc2ccc(N=c3[nH]c(C)ccc3-c3cccnc3)cc2CC1,1,32.37
CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3CC)CC1,1,17.84
CCC(C)c1ccccc1Oc1ncccn1,1,22.79
Cn1cc(-c2cc(C(N)=O)nc(-c3cnc4ccccc4c3)c2)ccc1=N,1,33.62
CC(C)n1cnc2c(=NC3CCCC3)[nH]c(Cl)nc21,1,21.35
N=C(Nc1cccnc1)SC(=N)c1ccc(Cl)cc1,1,24.03
O=C(NC1(c2ccc(Cl)cc2)CCC1)c1nc(N2CCCC2)cc2ccccc12,1,35.53
COC(=O)C(=NC(=O)CCCC(=O)C=CC(=O)O)c1ccccc1O,1,38.15
Cc1nc2ccccc2n1CC(=O)c1ccc(Cl)cc1,1,19.21
O=C(C[n+]1cccc(F)c1)c1ccccc1,1,20.45
CCc1ccc(-c2ccc(C(=O)NCC(=O)NCc3ccccn3)cc2)cc1,1,23.5
OC(c1cnco1)C1Cc2cc3ccccc3cc2C1,1,35.37
O=C(c1c(O)n(Cc2ccccc2)c2ccccc12)N1CCc2ccccc2C1,1,25.77
COc1ccc(C(C(N)=O)N2CCN(c3ccc(NC(=O)c4ccccc4Cl)cc3Cl)CC2)cc1,1,34.68
Cc1cccc(C2CC(c3ccc(Cl)cc3)CN3CNCC23)n1,1,33.83
CCC1Cc2c(C)nc3c(C(F)(F)F)cnn3c2N1c1cc(Cl)ccc1C,1,30.8
CCN(CC)C1CCC2(CC1)C[S+]([O-])c1ccccc12,1,27.53
CCCCCn1c(-c2ccccc2)c(C(=O)c2ccc(Cl)cc2)c2ccccc21,1,23.72
CC(=O)OCC1OC(C(C)OC(=O)C=CC(=O)OC2CCC3(C)C(OC(C)=O)C(OC(C)=O)CC(C3OC(C)=O)C2(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,1,53.36
O=C(CN1CCOCC1)NCc1ccco1,1,20.61
Cc1cc(CCNS(=O)(=O)c2ccc(N)cc2)no1,1,25.34
CC(C(c1ccccc1)n1ccc2cc(C=CC(O)=NO)ccc21)N1CCN(C)CC1,1,32.75
Cc1nc(C2CCCCN2C(=O)C2CCCCN2C(=O)C2CCC2)no1,1,30.97
CC(C)N=c1[nH]c(-c2ccc(NCCN3CCN(C)CC3)cc2)cc2ncn(C)c(=O)c12,1,25.13
CCCCCC(=O)Oc1ccc(C2=NCCO2)cc1,1,24.98
CCN1CCN(C(=O)c2cc3c(-c4cccc(F)c4)nn(C)c3s2)CC1,1,23.96
O=c1c2ccccc2[nH]c(=NN=Cc2ccc(Cl)cc2)n1O,1,20.71
CC(CN1C(=O)OC2CC3(CCCC3)CC21)N1CCC([N+](=O)[O-])C1,1,39.69
CN(Cc1ccccc1)C(=O)C1CC(CC(=O)O)CN(Cc2ccc(Oc3cccc4c(=O)[nH]ncc34)cc2)C1=O,1,46.39
CCCCCCCCCCNCC1CC(OC2(C(=O)O)OC(COC(=O)N3CCC(CCN)C3)SCC2N)CN1,1,50.15
CN=c1nc(OCCCN(C)C)[nH]c2[nH]c(Cc3ccc(C)cc3)nc12,1,34.22
O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CC2CC(C1)N(C1CCCCC1)C2,1,26.02
CCN(CC)CCCC(=O)Nc1ccc2[nH]cnc(=Nc3cccc(Br)c3)c2c1,1,22.29
Oc1ccc(Cl)c2ccccc12,1,16.81
CC1CN2CCCCC2CN1C(=O)CN1CCCC1CCN1CCN(C(=O)Nc2cccc(Cl)c2)CC1,1,34.93
CCOC(=O)C1CCCN(C(=O)Cn2c(=O)oc3ccc(-c4ccccc4)cc32)C1,1,27.13
COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(=O)c(CC=C(C)C)c(-c3cc(O)cc(O)c3)oc2c1,1,31.93
CN1CCC(C(=O)NC2CCCC(N=c3nc(-n4c(=Nc5ccccc5)[nH]c5cc(C#N)ccc54)cc[nH]3)CC2)(N2CCCCC2)CC1,1,40.21
Clc1cccc(Cl)c1CN1CCN(c2cc(-c3ccccc3)nc3ccccc23)CC1,1,24.28
CCCCC(=O)N=C1SC2CS(=O)(=O)CC2N1Cc1ccccc1,1,21.69
Cc1ccc(NS(=O)(=O)c2ccc(CCC(O)=NO)cc2)cc1,1,23.32
CC1SCc2ncnc(N3CCN(C(=O)C(CC4CCCC4)CN(O)C=O)CC3)c21,1,24.07
COc1ccc2ccc3c(C(=O)NCCCN(C)CCCNC(=O)c4cccc5cc6cc(O)ccc6nc45)ccnc3c2c1,1,34.06
CCOc1nccnc1C(=NO)n1nc(C)cc1C,1,31.08
NC(=O)c1c(O)nc2n1Cc1cc(OCC(=O)Nc3cccc(S(=O)(=O)N4CCOCC4)c3)ccc1C1CCCN21,1,38.01
CC(C)C(C(=O)N(Cc1cccnc1)Cc1cccs1)N(C)Cc1ccccc1,1,35.33
O=C(c1cc2ccccc2o1)c1c(O)c(O)n(-c2cc3ccccc3s2)c1O,1,27.98
COc1ccccc1CSc1nc(C)n[nH]1,1,22.67
CCCCCCCCC=Cc1cc(C)n(O)c(=O)c1,1,26.77
CN(CCCN1CCc2cc(O)c(O)cc2CC1=O)CCC(c1ccccc1)c1ccccc1,1,24.79
NC(=O)C1C2C=CC(C2)C1C(=O)N1CCOCC1,1,27.53
CN(C)CCCCCCCCN1C(=O)c2ccccc2C1=O,1,18.59
CC(C)(C)OC(=O)c1ccc(N=Cc2cc(O)cc(O)c2)cc1,1,27.25
O=C(NC1CC1c1ccccc1)C(c1ccccc1)N1CCN(CCc2ccccc2)CC1,1,30.28
CC(C)(C)OC(=O)n1ccc(-c2nccn2Cc2ccccc2)cc1=O,1,28.23
O=C1CSC(c2ccc3c(c2)OCO3)N1c1ccc(F)cc1,1,21.79
Oc1cc(O)c(-c2cc(-c3ccc4c(c3)OCO4)on2)cc1-c1ccccc1,1,25.76
COc1ccc(C2OCC3(O)c4cc5c(cc4OCC23)OCO5)cc1O,1,25.16
COc1ccc(-c2cc(OC)nnc2-c2ccsc2)cc1,1,24.7
COc1ccc(-c2nnc(Cc3nnc(-c4cccs4)o3)o2)cc1,1,21.77
CC(Cc1c[nH]c2ccccc12)(N=c1ccc(C(F)(F)F)c[nH]1)c1nc2cc(Cl)ccc2n1-c1ccccc1,1,42.24
c1ccc2c(c1)CCC(c1nnc(C3CCCNC3)o1)O2,1,29.99
COc1cc(O)c(Oc2c(F)c(F)cc(F)c2F)c(C(C)=O)c1,1,34.11
O=c1c2ccccc2c(-c2ccc(F)cc2)nn1-c1ccc(F)cc1,1,24.16
O=Cc1ccc(OCc2cn(Cc3cc(-c4ccccc4)on3)nn2)cc1,1,25.32
CC(C)c1cc2c(c(Cl)c1Cl)OC(O)(C(F)(F)F)OC2,1,31.28
CCc1cc(C(=O)NN=Cc2ccc(Cl)cc2)[nH]n1,1,22.3
CC(O)CNCC1CCN(c2cc(-c3[nH]nc4cnc(-c5cnn(C)c5)cc34)ccn2)CC1,1,31.6
Fc1ccc(NC(=S)N(Cc2ccc3c(c2)OCO3)C2CCCCCC2)cc1,1,25.02
COc1cccc(CN2CCc3cc(-c4cncc5nnc(C6(C)COC6)n45)ccc3C(C)C2)n1,1,46.89
O=C(O)Cc1ccc(-c2ccccn2)c(Cl)c1,1,27.23
CCOC(=O)C(Cc1ccc2ccccc2c1)=NC(=O)c1ccccc1Cl,1,29.04
CCCCc1ccc(-c2ccc(CC3=NC(=S)NC3=O)s2)cc1,1,20.26
CC1Cc2ccccc2N1C(=O)COc1ccc(Cl)cc1Br,1,22.17
Cc1nnc(C2CCC3CCC(Cn4nc(-c5ccc(Oc6ccccc6)cc5F)c5c(=N)[nH]cnc54)N32)o1,1,29.09
CCN1CCN(CCCCN2CC(c3ccc(OC)cc3)C(C(=O)O)C2c2c(F)cccc2F)CC1,1,36.77
NCC(c1nn[nH]n1)N1c2ccccc2Sc2ccccc21,1,31.95
NC(=S)NN=C1C2CCCC1C(c1ccccc1F)NC2c1cccc(Cl)c1,1,25.6
Cc1ccc(CNC(=O)c2ccccc2-n2cnnn2)o1,1,25.1
Oc1c(C=CCCCc2ccccc2)c(O)c2ccccc2c1O,1,21.85
COc1cccc(Oc2ccc(C(=O)NCC3CN(C)CCO3)cn2)c1,1,27.81
Cc1ccc(-c2nn(CC(F)(F)F)c3cnc4[nH]cnc4c23)cc1F,1,33.9
CC1CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3ccccc3)ccc2OC1CN(C)C(=O)Nc1ccc(C(F)(F)F)cc1,1,22.43
CC(C)(C)c1cc(N2CCN(C3CC3)CC2)cc(N2C(N)=NC(N)=NC2(C)C)c1,1,30.82
CCOc1ccc(CCNC(=O)CSc2nc3cc(OC)ccc3[nH]2)cc1OCC,1,23.38
Cc1ccccc1NC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,1,23.65
COc1cc(CCNCC(O)c2ccc(O)cc2)ccc1OCCCc1ccccc1,1,24.84
CCC(=O)Nc1cccc(-c2cccnc2)c1,1,21.71
C=CCC(c1ccc(Cl)cc1)N1CCC(N2CCC(C(=O)NC(CNCc3ccc(Cl)cc3C)C(=O)NC3CCCCC3)CC2)CC1,1,45.74
COc1cccc(C=NNC(=O)c2nn(-c3ccccn3)c3ccccc23)c1OC,1,31.42
Cc1ccc(C(=O)NCC(=O)NC(C)c2ccc(C(=O)c3ccccc3)cc2)cc1C,1,30.3
O=C(N=c1[nH]c2cc(Cl)c(Br)c(Br)c2[nH]1)c1ccc2c(c1)OCO2,1,33.0
COc1ccccc1N1CCN(N=CC=Cc2ccccc2)CC1,1,18.68
CC(=O)c1c(NC(=O)C=C(C)C)oc2ccccc2c1=O,1,30.38
O=C1C(Cl)C(c2cn(-c3ccc([N+](=O)[O-])cc3)nc2-c2ccccn2)N1c1ccccc1,1,28.45
O=C(Oc1ccc(Cl)cc1)c1ccc(-c2ccccc2)cc1,1,19.47
CCN(CC)C(=O)c1ccc2[nH]c(O)c(C3=Nc4ccccc4C3=O)c2c1,1,25.11
Cc1nc(-c2ccccc2)cn1-c1ccc(Cl)cc1,1,21.23
COc1cccc(N=c2nc3c(c[nH]2)ncc(=O)n3-c2ccc3c(c2)OCO3)c1,1,22.86
NC(=O)c1c(C(F)(F)F)c(-c2cc(C(O)CO)[nH]n2)nc2c1ccc1ccccc12,1,49.4
CCCCCn1c2c(c3ccc(F)cc31)CCCC2,1,26.07
COc1ccccc1C(=O)NC(=S)NN=Cc1cccs1,1,23.22
COc1ccc(-c2ccc(COC3COc4nc([N+](=O)[O-])cn4C3)cc2)cc1OC,1,21.68
O=C(NCc1ccc(F)cc1)c1[nH]c(-c2ccncc2)nc(=O)c1O,1,20.13
CC(C)Oc1ccc(Oc2ccc(S(=O)(=O)N=c3[nH]cns3)cc2F)c(-c2ccnn2C)c1,1,27.64
CC1(C(=O)N2CCOCC2)COC(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)OC1,1,18.93
