rank,canonical_smiles,best_smiles,best_total_reward,mean_total_reward,best_targetA_score,best_offTargetB_score,best_off_target_penalty,occurrences,best_batch_index,ranking_criterion
1,Cn1c2c(c(=O)c3cc(Cl)ccc31)C(=O)C(=O)c1ccccc1-2,Cn1c2c(c(=O)c3cc(Cl)ccc31)C(=O)C(=O)c1ccccc1-2,0.6757312715610895,0.6757312715610895,0.6757312715610895,0.0,0.0,1,28,best_total_reward
2,CCn1c(C)c(C)c(C#N)c1NC(=O)Cn1cc(C(=O)Nc2ccc(Cl)cc2)nn1,CCn1c(C)c(C)c(C#N)c1NC(=O)Cn1cc(C(=O)Nc2ccc(Cl)cc2)nn1,0.6489828421570698,0.6489828421570698,0.6489828421570698,0.0,0.0,1,19,best_total_reward
3,CC(C)(C)c1ccc(-c2cn3nc(N4CCN(CCO)CC4)sc3n2)cc1,CC(C)(C)c1ccc(-c2cn3nc(N4CCN(CCO)CC4)sc3n2)cc1,0.6271191057843227,0.6271191057843227,0.6271191057843227,0.0,0.0,1,20,best_total_reward
4,O=[N+]([O-])c1ccc(O)c(-c2cc(-c3ccccn3)n[nH]2)c1,O=[N+]([O-])c1ccc(O)c(-c2cc(-c3ccccn3)n[nH]2)c1,0.614306355392302,0.614306355392302,0.614306355392302,0.0,0.0,1,29,best_total_reward
5,O=[N+]([O-])c1cc(Cl)cc2[nH]c3cnccc3c12,O=[N+]([O-])c1cc(Cl)cc2[nH]c3cnccc3c12,0.6066295083577212,0.6066295083577212,0.6066295083577212,0.0,0.0,1,20,best_total_reward
6,O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(-c2cncs2)cc1,O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(-c2cncs2)cc1,0.604026137294327,0.604026137294327,0.604026137294327,0.0,0.0,1,9,best_total_reward
7,CCN(CC)CCCC(C)N=c1c2ccccc2[nH]c2ccc(Cl)cc12,CCN(CC)CCCC(C)N=c1c2ccccc2[nH]c2ccc(Cl)cc12,0.6033564167284622,0.6033564167284622,0.6033564167284622,0.0,0.0,1,5,best_total_reward
8,N=c1[nH]c2nccnc2n2c(-c3nccs3)nnc12,N=c1[nH]c2nccnc2n2c(-c3nccs3)nnc12,0.5664376022019689,0.5664376022019689,0.5664376022019689,0.0,0.0,1,15,best_total_reward
9,O=C(NC(CN1CCC(O)C1)c1ccccn1)c1ccc2c(-c3nc4ccccc4[nH]3)[nH]nc2c1,O=C(NC(CN1CCC(O)C1)c1ccccn1)c1ccc2c(-c3nc4ccccc4[nH]3)[nH]nc2c1,0.535612972775741,0.535612972775741,0.535612972775741,0.0,0.0,1,17,best_total_reward
10,Cc1cc(N)c(C(=O)O)cc1-c1ccc(C=C2SC(=S)N(CC(=O)O)C2=O)o1,Cc1cc(N)c(C(=O)O)cc1-c1ccc(C=C2SC(=S)N(CC(=O)O)C2=O)o1,0.5351592020453196,0.5351592020453196,0.5351592020453196,0.0,0.0,1,13,best_total_reward
11,CC(C)Cc1cc(-c2ccccc2)nc2ccc(-n3cnnc3)cc12,CC(C)Cc1cc(-c2ccccc2)nc2ccc(-n3cnnc3)cc12,0.5139051772340977,0.5139051772340977,0.5139051772340977,0.0,0.0,1,17,best_total_reward
12,CCc1ccc2c(=O)cc3n(CCO)c4ccccc4nc-3c2c1,CCc1ccc2c(=O)cc3n(CCO)c4ccccc4nc-3c2c1,0.5091078934450327,0.5091078934450327,0.5091078934450327,0.0,0.0,1,23,best_total_reward
13,CCc1ccccc1N(C)c1nc(=NC2CCN(C)CC2)c2cc(OC)c(OC)cc2[nH]1,CCc1ccccc1N(C)c1nc(=NC2CCN(C)CC2)c2cc(OC)c(OC)cc2[nH]1,0.5017504620562161,0.5017504620562161,0.5017504620562161,0.0,0.0,1,13,best_total_reward
14,O=C1CN2CCC=CC2c2[nH]c(=Nc3ccccc3)sc21,O=C1CN2CCC=CC2c2[nH]c(=Nc3ccccc3)sc21,0.49210917904012424,0.49210917904012424,0.49210917904012424,0.0,0.0,1,14,best_total_reward
15,COc1ccc(C(=O)N=c2cc(-c3n[nH]c(-c4ccccc4)n3)cc[nH]2)cc1,COc1ccc(C(=O)N=c2cc(-c3n[nH]c(-c4ccccc4)n3)cc[nH]2)cc1,0.4788886925849207,0.4788886925849207,0.4788886925849207,0.0,0.0,1,7,best_total_reward
16,COc1ccc2c(c1)Cc1c(C)nc(=N)[nH]c1-2,COc1ccc2c(c1)Cc1c(C)nc(=N)[nH]c1-2,0.47752582446001623,0.47752582446001623,0.47752582446001623,0.0,0.0,1,24,best_total_reward
17,Cc1cc(C)c2c(=O)oc3ccc(Cl)cc3c2n1,Cc1cc(C)c2c(=O)oc3ccc(Cl)cc3c2n1,0.4380696110758991,0.4380696110758991,0.4380696110758991,0.0,0.0,1,25,best_total_reward
18,O=C(Nc1ccc(C(F)(F)F)c(Cl)c1)Nc1cnc2ccccn12,O=C(Nc1ccc(C(F)(F)F)c(Cl)c1)Nc1cnc2ccccn12,0.432925693290627,0.432925693290627,0.432925693290627,0.0,0.0,1,18,best_total_reward
19,CN(C)C(=O)N=c1[nH]c(-c2ccccc2)ns1,CN(C)C(=O)N=c1[nH]c(-c2ccccc2)ns1,0.42733615197355845,0.42733615197355845,0.42733615197355845,0.0,0.0,1,13,best_total_reward
20,CCSc1nc(N2CCN(CC)CC2)c2cn(CCCc3c[nH]c4ccccc34)nc2n1,CCSc1nc(N2CCN(CC)CC2)c2cn(CCCc3c[nH]c4ccccc34)nc2n1,0.41275077512465075,0.41275077512465075,0.41275077512465075,0.0,0.0,1,6,best_total_reward
21,COc1ccc(-c2ccc3c(SC)nn(-c4ccccc4)c3n2)cc1,COc1ccc(-c2ccc3c(SC)nn(-c4ccccc4)c3n2)cc1,0.40651151144244796,0.40651151144244796,0.40651151144244796,0.0,0.0,1,21,best_total_reward
22,COc1ccc(C#Cc2ccc(C(=O)N3CCCN(C4CCC4)CC3)cc2)cc1,COc1ccc(C#Cc2ccc(C(=O)N3CCCN(C4CCC4)CC3)cc2)cc1,0.3958112210129639,0.3958112210129639,0.3958112210129639,0.0,0.0,1,9,best_total_reward
23,CC1(CC(=O)O)N=C(N)c2cc(Br)ccc2N1,CC1(CC(=O)O)N=C(N)c2cc(Br)ccc2N1,0.3952984150175694,0.3952984150175694,0.3952984150175694,0.0,0.0,1,4,best_total_reward
24,O=C(NCCN1CCOCC1)c1cccc(NC(=O)c2ccc(-c3ccccc3)cc2)c1,O=C(NCCN1CCOCC1)c1cccc(NC(=O)c2ccc(-c3ccccc3)cc2)c1,0.39118108059798196,0.39118108059798196,0.39118108059798196,0.0,0.0,1,11,best_total_reward
25,O=C(c1ccc2c(O)c3cccnc3c(O)c2n1)N1CCCC(O)C1,O=C(c1ccc2c(O)c3cccnc3c(O)c2n1)N1CCCC(O)C1,0.3890530308090407,0.3890530308090407,0.3890530308090407,0.0,0.0,1,26,best_total_reward
26,CCc1n[nH]c(=NC(=O)CSc2nc(=O)c3sc4ccccc4c3[nH]2)s1,CCc1n[nH]c(=NC(=O)CSc2nc(=O)c3sc4ccccc4c3[nH]2)s1,0.3862711653432483,0.3862711653432483,0.3862711653432483,0.0,0.0,1,13,best_total_reward
27,CC1=CC(C)(C)Nc2ccc(C)cc21,CC1=CC(C)(C)Nc2ccc(C)cc21,0.3860812630793918,0.3860812630793918,0.3860812630793918,0.0,0.0,1,6,best_total_reward
28,CN(CCCN1CCOCC1)Cc1c2ccccc2cc2ccc(Cl)c(Cl)c12,CN(CCCN1CCOCC1)Cc1c2ccccc2cc2ccc(Cl)c(Cl)c12,0.38435341736685946,0.38435341736685946,0.38435341736685946,0.0,0.0,1,20,best_total_reward
29,O=C(c1ccc2sc3ccccc3c2c1)N1CCC2(CCCCN2)CC1,O=C(c1ccc2sc3ccccc3c2c1)N1CCC2(CCCCN2)CC1,0.38138247185080454,0.38138247185080454,0.38138247185080454,0.0,0.0,1,7,best_total_reward
30,CC(C)C1=NC(Nc2cccnc2)N(NSc2ccc(F)cc2)C2(C)C=c3ccccc3=CN12,CC(C)C1=NC(Nc2cccnc2)N(NSc2ccc(F)cc2)C2(C)C=c3ccccc3=CN12,0.37720617650900934,0.37720617650900934,0.37720617650900934,0.0,0.0,1,21,best_total_reward
